Genero,Edad,Ubicacion,Tipo_Escuela,Transporte_a_la_Escuela,Privada,Area_de_la_Carrera,Promedio_Inicial,Promedio_Medio,Promedio_Final,Horas_Estudio_Semanal,Otra_Carrera_Previa,Nivel_Ingresos_Rango,Trabaja,Apoyo_Economico,Foraneo_o_Local,Con_quien_vive,Estado_Civil,Discapacidad,Problemas_Socioeconomicos,Horas_Sueño,Nivel_Estres_Percibido,Recibio_Orientacion_Vocacional,Razon_Principal_Eleccion_Carrera,Problemas_Familiares,Problemas_Psicologicos,Habilidades,Nivel_de_Satisfaccion,Hobbies,Amigos_Cercanos,Satisfaccion_Carrera,Motivo_eleccion_carrera,Expectativas_cumplidas,Deserto,Motivo_de_Desercion,Año_de_Desercion
Masculino,22,Rural,Publica,22,No,Arte,74,61,61,23,No,5k-10k,No,Trabajo Propio,Local,Otros,Soltero,Ninguna,No,6,2,Si,Prestigio,No,Si,Baja,5,Lectura,10,6,Cercanía,Si,No,No Aplica,0
Masculino,19,Urbana,Privada,19,Si,Ingenieria,90,73,69,19,Si,5k-10k,No,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,Si,6,6,Si,Prestigio,Si,No,Media,6,Lectura,4,3,Vocación,Si,No,No Aplica,0
Masculino,21,Urbana,Publica,28,Si,Ciencias Naturales,93,60,57,12,No,>20k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,Si,7,4,No,Amigos/Familia,Si,No,Baja,5,Deportes,5,4,Renta Económica,Si,No,No Aplica,0
Masculino,20,Rural,Publica,9,Si,Arte,80,76,75,10,Si,<5k,Si,Otro,Local,Solo,Casado,Ninguna,Si,4,6,No,Amigos/Familia,Si,Si,Baja,6,Viajar,10,8,Renta Económica,No,No,No Aplica,0
Masculino,19,Rural,Privada,30,Si,Humanidades,72,70,69,11,No,10k-20k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,No,4,1,No,Amigos/Familia,Si,No,Media,9,Arte,7,6,Prestigio,No,Si,Cambio de Carrera,5
Femenino,19,Rural,Publica,31,No,Ciencias Naturales,78,85,107,8,No,<5k,Si,Padres,Local,Otros,Soltero,Ninguna,No,4,4,Si,Sueldo,No,Si,Baja,7,Arte,5,8,Prestigio,No,Si,Problemas Académicos,5
Femenino,22,Urbana,Publica,20,No,Ciencias Sociales,85,74,77,8,No,5k-10k,Si,Padres,Local,Solo,Soltero,Ninguna,Si,5,10,No,Gusto Personal,Si,No,Media,7,Deportes,3,12,Cercanía,No,No,No Aplica,0
Femenino,18,Urbana,Publica,31,No,Ciencias Sociales,104,78,79,12,Si,5k-10k,No,Otro,Local,Solo,Soltero,Ninguna,Si,8,3,No,Prestigio,Si,No,Baja,8,Lectura,5,6,Renta Económica,Si,Si,Otros,2
Femenino,20,Urbana,Publica,18,No,Humanidades,97,88,72,11,No,5k-10k,No,Padres,Local,Otros,Soltero,Ninguna,No,5,6,Si,Demanda Laboral,Si,Si,Alta,4,Tecnología,4,7,Influencia Familiar,Si,Si,Otros,2
Masculino,20,Urbana,Privada,19,No,Ciencias Naturales,79,55,65,13,Si,5k-10k,Si,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,5,9,Si,Prestigio,No,No,Baja,4,Lectura,5,9,Cercanía,Si,No,No Aplica,0
Masculino,18,Urbana,Publica,23,Si,Humanidades,68,85,69,13,Si,>20k,Si,Trabajo Propio,Local,Solo,Soltero,Ninguna,Si,5,2,No,Sueldo,Si,No,Baja,8,Lectura,7,6,Prestigio,No,No,No Aplica,0
Masculino,21,Rural,Privada,33,No,Ingenieria,92,92,65,10,Si,5k-10k,Si,Otro,Foraneo,Amigos,Soltero,Ninguna,No,8,8,Si,Prestigio,No,No,Media,8,Lectura,5,7,Influencia Familiar,No,Si,Problemas Familiares,5
Masculino,19,Urbana,Publica,37,Si,Ciencias Sociales,77,66,81,16,Si,<5k,Si,Padres,Foraneo,Familia,Soltero,Ninguna,Si,4,5,No,Prestigio,Si,No,Media,11,Lectura,3,6,Cercanía,Si,No,No Aplica,0
Masculino,21,Urbana,Publica,25,No,Humanidades,74,57,87,20,Si,<5k,Si,Padres,Local,Otros,Soltero,Visual,Si,6,3,No,Demanda Laboral,Si,No,Media,9,Tecnología,5,9,Vocación,No,No,No Aplica,0
Masculino,22,Rural,Privada,29,Si,Ingenieria,71,71,88,13,No,5k-10k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,No,7,5,No,Amigos/Familia,Si,Si,Baja,5,Tecnología,4,10,Renta Económica,No,Si,Cambio de Carrera,8
Femenino,20,Rural,Publica,47,No,Ingenieria,75,51,69,10,Si,<5k,No,Otro,Local,Otros,Soltero,Ninguna,Si,5,6,No,Amigos/Familia,Si,No,Media,5,Lectura,4,9,Prestigio,No,No,No Aplica,0
Masculino,17,Rural,Privada,28,No,Arte,71,66,69,17,Si,<5k,No,Padres,Local,Solo,Casado,Ninguna,No,6,6,Si,Gusto Personal,Si,No,Media,6,Viajar,1,9,Influencia Familiar,No,No,No Aplica,0
