Temperatura_Celsius,Gasto_Calefaccion_USD
-5,143
-3,206
-4,186
-3,215
-9,227
-5,206
2,128
-3,196
-1,148
-4,169
0,145
-10,237
-1,119
-1,142
-3,186
-9,245
-5,202
-1,148
-5,176
-7,238
-6,211
-10,260
-1,145
-8,229
-2,166
-1,126
-3,229
-6,181
-6,204
-7,234
-11,230
-7,243
-6,205
-5,201
-5,176
-4,196
-7,221
-2,151
-10,242
-2,154
-5,223
-1,151
-9,228
-6,208
-3,194
-4,185
-3,183
-6,210
-8,214
-2,133
-10,264
-8,253
-7,222
-7,195
-2,166
-4,164
-5,173
-1,143
-5,231
-5,159
-1,198
-7,216
-9,210
-6,215
-5,232
-7,238
-3,168
-2,199
-4,171
-3,224
-4,167
-6,208
-4,205
-6,156
0,154
-2,192
-2,188
-6,174
-3,164
-4,186
-7,228
-5,135
-7,200
-4,197
-11,261
-4,223
-7,223
-5,200
-5,199
-7,201
-10,243
-7,245
-5,167
-6,228
-6,200
-2,158
-7,222
-6,211
-1,187
-6,178
