Temperatura_Celsius,Gasto_Calefaccion_USD
0,178
-8,262
-5,198
-2,209
-6,232
-4,192
-2,163
-8,267
-4,202
-8,263
-2,172
-4,171
-5,211
-10,304
-7,250
-2,169
-9,281
-12,337
-7,242
-4,194
-8,310
-7,288
-1,174
-7,239
-6,227
-7,265
-9,276
-4,205
-5,227
-2,220
-8,247
-7,269
-7,275
-9,283
-4,188
-6,219
-10,303
1,132
-4,205
-2,190
-5,226
-4,180
-5,224
-5,170
-10,280
-9,294
-3,190
-2,137
-5,239
-1,154
-9,272
-5,221
-7,236
-7,246
-1,147
-3,199
-4,222
-7,239
-6,218
-2,178
-7,251
-6,210
-1,173
-8,247
2,177
-9,248
-2,193
-8,266
-1,172
-8,281
2,138
-10,289
-3,201
-10,302
-5,208
-3,184
-8,277
-3,182
-7,241
-7,277
-8,279
-4,202
0,140
-5,210
-12,343
-8,273
0,168
-2,198
-5,197
-4,220
1,153
-7,233
-7,264
-8,261
-8,289
-6,236
2,109
-8,259
-6,255
-5,257
-8,296
-6,259
-8,303
0,170
-5,228
-7,241
-3,199
-7,230
-5,174
-7,223
-2,160
-7,224
-5,255
-2,176
-7,264
-5,219
-3,163
-8,281
-7,261
-5,203
-2,160
-11,310
-10,303
-4,197
-3,203
-6,261
-5,252
1,174
-14,375
-3,198
-2,190
-7,244
-1,158
-6,209
-3,181
2,138
-4,216
-1,186
-4,215
-2,136
-4,201
-6,222
0,164
-1,160
-1,146
-1,193
0,140
-6,226
-3,141
-7,224
-3,171
-5,207
-5,202
-2,149
-4,183
0,184
-7,265
-7,245
-2,176
-4,220
-7,262
-5,213
-4,168
-1,124
-3,175
-5,221
0,184
-10,263
-11,348
-5,196
-6,198
-8,245
-6,231
-6,200
-1,134
-2,174
1,156
-4,182
-6,223
-7,266
-8,267
2,134
-8,266
-1,163
-5,187
-4,202
-1,157
-5,211
-7,213
1,135
0,166
-2,147
-12,330
-7,249
-11,314
-8,257
-9,270
-5,173
-8,289
-6,205
