Temperatura_Celsius,Gasto_Calefaccion_USD
10,114
4,355
4,90
6,73
2,75
5,93
7,429
4,97
10,44
7,709
4,129
4,51
5,135
3,183
3,125
4,26
6,265
2,181
6,884
5,131
4,121
3,115
5,150
3,327
8,193
4,151
3,1087
6,25
3,110
2,28
6,80
3,273
2,330
3,50
4,17
6,439
9,174
4,180
4,177
5,1047
7,74
6,22
2,134
2,25
2,56
5,890
6,552
3,638
5,194
2,24
8,337
17,99
3,199
3,158
4,36
5,65
6,430
5,14
6,221
3,97
2,482
14,83
4,133
2,152
3,1216
10,442
6,24
5,305
4,365
3,388
5,205
5,1777
4,31
4,52
7,2519
7,458
5,53
6,61
6,334
8,878
3,57
2,46
2,44
5,41
4,1050
3,168
6,163
4,204
2,242
4,41
4,1405
5,155
9,114
7,146
4,128
4,59
5,61
8,44
5,132
4,385
