Temperatura_Promedio_C,Likes_Redes_Sociales,Promociones_Dia,Lluvia_Registrada_mm,Ventas_Helado_Litros
27,639,2,1,349
24,592,2,3,359
28,505,2,4,325
32,435,2,8,317
23,569,1,6,271
23,539,3,2,368
32,589,3,5,243
28,563,2,1,325
22,604,3,7,339
27,446,3,4,329
22,631,1,4,371
22,519,2,7,246
26,707,2,2,374
15,431,2,2,273
16,673,3,3,386
22,519,2,7,287
19,434,2,1,249
26,451,0,0,322
20,467,3,4,268
17,542,1,6,309
32,552,3,7,466
23,442,3,4,216
25,497,4,4,231
17,714,1,7,438
22,672,0,1,355
25,543,3,4,326
19,503,4,5,275
26,512,4,5,320
21,561,3,3,424
23,397,2,5,299
21,474,3,0,347
34,333,2,3,180
24,539,3,5,279
19,564,3,3,200
29,451,4,5,268
18,657,5,5,442
26,377,3,4,287
15,353,2,5,210
18,522,2,3,312
25,604,1,4,328
28,668,2,6,414
25,454,2,5,330
24,607,2,3,287
23,496,3,5,328
17,482,2,6,335
21,588,4,0,345
22,565,3,7,379
30,342,2,4,387
26,647,2,5,385
16,638,3,7,388
26,437,3,2,256
23,539,2,3,341
21,549,2,4,355
28,526,2,3,345
30,444,1,8,238
29,432,2,3,301
20,497,2,3,378
23,617,3,5,396
26,554,3,2,400
29,462,3,4,298
22,577,3,5,389
24,215,2,4,185
19,614,3,4,318
19,326,2,3,233
29,463,3,1,263
31,388,2,5,239
24,370,0,8,244
30,616,2,5,397
26,453,4,5,244
21,534,3,6,380
26,495,3,2,351
32,547,4,8,324
24,507,3,5,244
32,371,3,8,259
11,599,2,3,316
29,450,2,8,300
25,344,3,6,222
23,457,4,6,198
25,650,2,5,370
15,585,2,4,323
23,465,3,7,328
26,465,3,5,269
32,467,1,1,395
22,707,0,2,309
20,538,2,4,390
22,543,1,5,314
29,603,2,4,418
26,523,2,7,330
22,474,2,1,356
27,480,4,5,299
25,492,3,1,265
29,496,3,6,396
21,572,3,4,343
23,505,1,5,319
23,573,4,3,421
17,491,2,7,240
26,507,3,7,353
26,300,1,6,181
25,591,1,4,349
23,534,3,6,335
17,599,3,3,280
22,210,2,6,124
23,708,2,8,479
20,486,4,7,350
24,610,1,3,361
27,396,4,5,289
34,561,2,2,351
25,394,3,6,333
26,437,2,5,275
24,691,3,1,429
15,480,2,2,345
24,521,2,4,285
25,587,3,4,442
37,549,1,2,284
24,515,3,5,406
26,536,2,5,316
24,740,2,4,421
19,494,2,3,207
30,520,0,7,300
28,605,2,8,318
28,610,5,4,361
20,618,3,3,364
32,563,2,5,408
17,385,2,4,252
27,663,3,4,421
35,385,3,6,226
20,530,1,1,274
22,424,4,7,368
25,493,3,5,279
22,532,3,4,413
17,532,3,4,308
25,542,3,4,342
19,661,3,1,446
27,545,3,7,408
20,475,2,5,286
32,596,2,5,357
21,618,3,6,367
23,377,4,2,279
29,559,1,5,392
18,570,1,4,332
26,470,3,6,336
31,637,3,0,487
16,484,3,4,314
25,512,3,3,343
26,482,2,5,232
28,501,4,5,199
18,390,1,3,262
18,355,2,3,225
27,659,2,4,373
26,415,1,3,283
26,400,2,6,262
26,284,4,4,276
21,436,3,0,289
26,367,3,4,219
26,664,1,2,446
21,600,2,1,350
34,431,2,2,327
27,725,2,5,407
19,598,4,7,327
28,467,3,5,313
20,250,1,3,177
28,729,3,5,464
30,361,3,4,248
20,335,4,3,142
29,602,4,2,365
27,743,1,1,479
29,638,2,4,378
34,556,1,5,343
23,559,2,4,390
21,585,3,4,319
20,575,3,3,272
20,528,2,6,309
24,510,2,2,296
26,493,3,6,269
26,424,2,2,273
29,471,5,3,350
25,330,1,2,227
32,490,3,3,346
23,401,5,6,366
38,389,3,6,272
28,517,2,6,342
20,639,2,6,348
19,591,2,2,309
27,342,4,4,221
23,401,0,3,229
28,594,4,7,393
27,401,1,2,384
24,477,2,6,264
20,555,2,6,310
17,403,3,8,249
22,510,1,4,329
29,366,3,6,273
26,439,5,9,361
18,531,1,3,192
25,340,3,1,124
26,544,2,1,318
20,498,3,6,362
25,555,3,1,273
25,522,2,4,176
19,636,3,5,404
26,512,4,5,345
27,457,2,5,242
30,512,3,5,286
30,554,1,7,296
18,504,2,3,310
20,504,3,3,282
27,429,4,3,320
27,433,3,6,146
27,359,2,6,204
44,674,2,5,383
27,375,1,7,236
30,430,3,2,271
29,428,3,8,328
28,589,2,8,269
23,470,2,6,297
28,624,3,8,412
21,432,2,1,369
23,527,2,3,302
22,416,5,3,300
25,714,2,6,330
36,381,2,2,160
15,530,2,6,351
28,563,3,7,355
16,541,2,6,375
22,481,2,5,230
30,487,4,3,356
25,504,4,3,422
19,485,2,7,314
21,596,1,6,362
28,721,4,4,442
21,444,2,4,201
26,363,3,0,326
25,491,1,2,277
21,757,3,8,462
35,419,1,2,214
28,663,3,5,348
14,667,3,7,451
25,444,2,2,272
21,556,2,5,407
29,662,3,6,404
21,462,3,5,200
24,479,3,10,347
27,441,4,1,274
29,398,1,7,299
18,435,4,4,280
23,377,3,6,176
22,503,2,5,318
21,423,1,3,375
33,523,2,5,367
27,344,3,1,247
18,533,2,6,370
29,583,4,5,385
35,300,1,6,239
30,537,2,7,286
17,622,1,5,366
22,379,3,5,305
31,667,3,3,375
21,541,2,3,400
27,429,0,7,266
28,494,3,7,276
20,555,3,4,388
24,507,3,5,307
8,553,4,3,357
19,407,1,7,234
23,516,3,6,320
18,358,4,8,261
33,488,1,3,336
17,409,3,4,159
22,426,2,5,215
25,623,2,6,421
32,609,3,4,382
17,560,2,3,304
30,390,2,6,201
25,468,3,6,249
20,621,1,3,261
27,514,1,7,313
25,731,3,7,403
21,539,1,5,273
25,519,3,5,326
23,469,3,6,317
25,513,1,3,423
