altura,peso
174,69
169,68
176,63
183,65
168,58
168,67
184,75
177,66
166,72
175,69
166,61
166,61
172,71
154,52
156,73
165,63
162,58
173,54
162,64
158,57
183,73
168,63
171,73
158,64
165,56
171,68
160,71
173,74
165,67
168,57
165,66
186,58
170,70
161,67
177,71
160,86
172,62
154,50
159,62
172,61
176,71
171,61
169,67
167,64
158,56
164,73
166,67
179,61
173,71
156,67
173,67
167,61
164,62
175,67
179,59
178,61
163,60
167,75
173,70
178,67
166,72
168,50
161,69
160,52
177,67
182,61
169,48
179,73
173,72
165,70
173,71
184,80
170,66
184,65
149,59
177,64
171,61
167,68
171,72
154,61
168,63
173,68
183,61
166,61
163,61
166,59
178,70
173,67
166,60
174,74
171,67
178,70
164,70
167,59
167,73
158,60
173,70
172,52
170,61
168,70
158,67
166,46
167,69
163,67
169,64
173,70
187,69
171,63
172,61
169,77
154,55
170,65
171,70
192,70
168,69
173,65
170,75
160,56
180,57
177,72
177,89
162,72
182,73
158,54
175,75
190,70
162,58
165,65
171,69
166,69
157,64
171,68
161,73
174,72
162,59
184,72
163,69
167,66
177,64
160,57
172,65
181,76
157,60
172,68
172,64
177,76
160,49
159,50
174,74
173,54
172,60
173,64
164,60
172,61
173,67
164,64
187,66
174,75
160,73
176,69
162,46
177,80
180,65
163,60
178,83
174,72
177,70
187,67
168,66
164,69
163,71
163,63
169,63
173,67
172,58
177,78
170,50
183,71
168,70
195,69
175,67
163,67
161,65
174,66
168,50
176,81
174,55
169,62
163,63
158,58
166,56
177,64
172,74
160,56
171,59
173,65
163,64
171,68
170,63
161,71
173,77
175,64
179,73
179,64
159,57
162,65
174,71
174,65
174,58
206,87
175,55
180,69
178,69
176,69
167,60
177,75
164,57
168,65
166,70
171,74
191,65
155,58
176,75
157,61
166,59
180,76
171,73
161,58
164,58
176,84
164,57
172,63
170,55
165,81
189,62
175,79
154,67
172,58
164,63
177,80
163,61
169,67
174,75
178,56
160,66
167,58
166,59
165,53
186,71
173,63
160,62
178,81
189,56
179,70
158,60
166,59
181,83
164,63
174,51
177,68
162,67
169,67
145,64
162,53
168,69
160,60
184,61
158,58
166,58
171,71
183,77
158,61
180,60
170,64
162,62
174,62
172,81
165,59
171,70
167,65
171,58
176,63
184,81
160,61
189,66
154,54
169,59
175,68
172,58
165,59
168,76
166,82
165,63
177,67
173,62
164,65
178,75
173,72
177,73
175,61
163,64
165,63
176,64
175,65
170,79
171,78
181,73
165,62
175,75
168,71
168,62
180,84
177,76
177,73
181,73
170,61
176,66
167,59
173,60
169,58
171,68
175,74
163,64
189,85
162,62
160,55
180,59
177,65
175,65
175,75
170,71
163,68
171,57
164,68
178,74
169,66
163,62
167,63
174,65
165,61
163,67
172,68
172,71
166,66
166,57
172,64
158,46
158,61
164,59
168,61
173,66
183,64
177,74
169,61
170,69
162,51
170,61
168,67
173,51
163,65
174,61
184,66
169,58
173,67
176,69
167,71
172,63
170,53
171,58
164,65
170,63
174,72
183,64
178,63
189,87
164,69
178,63
172,64
190,67
