Fertilizante_Nitrogenado,Fertilizante_Fosfatado,Agua_Riego,Temperatura,PH_Suelo,Rendimiento
164.90,165.81,499.77,21.56,6.30,10.68
145.85,165.32,437.94,18.90,6.46,9.95
169.43,134.57,441.84,18.36,6.26,9.24
195.69,185.00,459.03,19.99,6.41,10.66
142.98,124.62,420.86,19.66,5.93,8.14
142.98,127.07,405.63,19.09,6.56,8.28
197.38,169.02,539.51,21.39,6.50,12.79
173.02,145.46,477.80,21.91,6.25,10.80
135.92,129.46,424.31,20.18,6.70,8.08
166.28,140.56,405.79,22.96,6.78,9.04
136.10,132.93,438.06,17.72,6.02,8.82
136.03,128.07,381.94,19.61,6.27,8.74
157.26,142.22,518.28,18.57,6.27,9.95
92.60,80.47,250.74,16.27,6.22,5.76
98.25,89.95,383.30,19.83,6.75,7.10
133.13,137.84,376.16,19.76,6.44,8.74
119.62,123.21,306.66,23.03,6.42,8.10
159.43,132.88,394.66,21.26,5.90,8.05
122.76,119.70,329.50,17.95,6.69,7.54
107.63,117.38,336.47,23.71,6.13,7.47
193.97,150.13,514.08,22.44,6.52,11.03
143.23,142.73,357.77,21.16,6.58,10.39
152.03,131.68,402.83,19.55,6.91,9.09
107.26,114.37,421.63,18.08,6.11,7.54
133.67,115.49,453.71,19.26,5.59,8.88
153.33,115.59,428.47,22.18,6.56,9.39
115.47,87.96,332.84,23.77,7.04,7.77
161.27,149.74,428.54,23.09,6.87,10.15
131.98,129.48,394.64,19.02,6.56,9.47
141.25,119.43,331.36,17.76,6.35,7.45
131.95,135.14,351.03,20.28,6.74,8.64
205.57,159.53,427.71,16.46,6.21,9.77
149.60,138.68,419.15,20.65,6.64,9.48
118.27,96.45,368.90,19.70,6.65,7.14
174.68,149.96,425.19,19.07,6.82,9.50
113.37,111.41,405.45,16.81,7.33,7.33
156.27,132.11,351.24,21.03,6.62,9.43
91.21,87.20,209.20,18.93,6.35,6.50
110.15,123.22,331.53,17.66,6.49,6.85
155.91,136.07,464.17,14.26,5.97,8.83
172.15,170.26,528.50,19.94,6.29,10.24
155.14,127.17,387.34,23.54,6.38,8.65
146.53,145.17,447.00,23.32,6.34,9.54
140.97,154.40,380.01,19.09,6.55,8.78
105.64,67.44,302.66,18.80,6.25,7.68
128.40,110.77,400.99,20.94,6.84,8.48
136.18,137.60,404.98,18.00,6.50,7.92
181.71,162.33,384.61,20.60,6.50,9.77
160.31,153.81,494.44,21.53,6.40,10.63
97.11,88.63,363.22,22.45,6.55,8.37
159.72,149.08,388.17,19.80,6.75,8.51
138.45,128.42,396.69,19.59,6.24,7.65
129.69,141.27,384.09,18.24,6.30,9.35
168.35,158.50,449.73,18.35,6.41,10.00
180.93,169.81,434.34,19.55,6.10,9.78
177.94,156.17,422.30,20.73,6.25,10.30
124.82,112.54,348.37,21.83,6.36,6.76
140.72,126.09,440.08,18.39,6.76,8.69
159.94,153.87,447.06,22.99,6.58,10.19
179.27,157.10,440.00,19.46,6.56,10.54
135.62,132.85,409.83,19.96,6.76,8.19
144.43,166.68,246.43,18.51,6.46,8.51
116.81,126.51,391.06,15.15,6.62,7.22
114.11,106.40,241.24,21.77,6.47,7.38
174.38,177.52,430.63,21.47,6.58,9.99
190.69,166.43,425.39,19.44,6.33,10.14
147.84,107.70,330.95,20.13,5.77,7.60
180.11,148.96,518.25,21.03,6.46,10.85
160.85,120.62,398.31,16.87,6.93,9.05
130.65,119.24,378.62,18.94,6.78,8.02
160.84,148.95,419.34,21.59,6.79,9.67
196.14,202.06,516.13,17.49,6.87,10.49
148.93,144.04,401.69,20.59,6.53,9.05
196.94,174.26,429.73,17.29,6.56,10.39
71.41,89.57,292.63,20.93,6.31,7.60
174.66,126.56,424.63,19.93,6.41,8.93
152.61,145.62,327.39,16.77,6.68,9.25
141.03,144.39,360.65,22.33,6.86,9.45
152.75,120.02,480.54,18.53,6.46,9.24
90.37,109.45,323.26,18.38,6.36,7.76
143.41,139.81,369.39,20.40,6.50,9.04
160.71,142.34,403.96,22.30,6.68,9.76
194.34,184.96,472.59,17.97,6.07,10.71
134.45,161.62,472.74,20.12,5.81,9.96
125.75,123.32,370.59,20.86,6.33,8.82
134.95,131.68,391.40,21.39,6.13,8.38
177.46,155.08,506.44,20.35,6.35,9.75
159.86,135.14,431.66,19.27,6.46,9.20
134.11,139.74,355.26,18.34,6.36,7.96
165.40,139.48,420.98,20.17,6.94,9.40
152.91,143.40,402.24,17.86,6.60,9.61
179.06,156.08,456.26,14.16,6.59,9.37
128.94,130.34,394.26,20.87,6.69,8.53
140.17,137.14,382.94,21.81,6.16,8.92
138.24,146.15,413.11,15.27,6.81,8.91
106.09,97.23,308.15,17.98,6.48,5.79
158.88,143.06,421.70,21.24,6.70,9.21
157.83,131.58,315.75,24.11,6.18,9.16
150.15,133.46,446.12,20.04,6.03,9.75
142.96,140.03,403.25,18.54,6.75,8.54
107.54,117.39,364.98,19.63,6.61,6.74
137.38,116.07,229.95,22.75,6.23,8.17
139.72,144.82,483.86,18.71,6.24,8.89
125.93,141.08,344.88,18.40,6.84,7.54
145.16,142.33,445.73,19.03,6.14,8.79
162.12,177.85,372.25,18.09,6.99,9.39
206.59,173.66,543.81,20.25,6.23,11.12
155.24,125.52,357.80,23.25,6.69,7.96
157.73,119.50,384.26,20.65,6.40,9.36
147.77,160.65,491.23,19.50,6.68,10.37
92.44,103.76,275.34,19.42,6.34,7.02
149.20,138.53,409.28,16.87,6.45,8.22
151.81,145.65,447.12,21.77,6.51,9.53
223.90,182.24,572.58,19.84,6.20,12.00
144.23,172.07,395.98,19.64,6.72,9.66
159.05,149.18,436.34,26.39,6.35,10.54
148.96,140.81,518.09,20.60,6.43,9.36
114.94,122.84,327.00,18.50,6.20,7.61
184.28,174.64,478.62,19.15,5.73,10.69
172.56,161.40,497.65,22.30,6.44,11.31
173.73,147.13,502.74,20.23,7.22,10.43
122.72,125.25,404.79,17.12,6.74,8.42
192.08,201.90,516.10,21.84,6.49,11.68
107.94,126.54,258.74,18.66,6.42,7.91
167.61,177.98,516.88,23.75,6.51,11.18
215.71,184.90,474.11,22.16,6.66,11.21
120.28,101.38,355.70,19.11,6.15,8.25
133.01,124.52,328.31,22.56,6.83,8.71
152.99,143.23,402.77,20.14,6.71,8.97
134.90,144.33,386.23,21.71,6.72,8.68
103.48,77.40,323.03,20.97,6.63,7.06
152.06,164.59,425.21,18.31,6.51,9.70
118.13,112.13,416.95,18.71,6.70,8.06
164.21,144.96,451.09,22.06,6.68,10.04
122.42,102.75,332.63,19.33,6.39,8.41
196.50,152.38,541.20,19.19,6.33,11.34
126.50,133.55,412.48,18.09,6.53,8.49
140.34,133.37,319.30,20.85,6.96,8.87
174.41,140.17,478.68,24.13,6.13,9.81
113.07,91.03,361.21,17.86,6.06,7.33
156.82,140.42,398.77,20.05,6.55,10.14
189.21,196.41,547.21,22.82,6.52,11.64
101.78,97.53,296.05,19.84,6.55,6.53
155.54,121.88,417.36,20.90,6.57,8.78
157.80,142.55,406.94,17.88,6.43,8.56
173.45,154.67,447.69,20.86,6.95,9.63
112.89,69.86,270.97,19.63,6.02,6.34
110.39,107.49,248.77,21.97,6.25,6.51
165.66,149.06,511.04,22.37,6.47,10.34
158.91,157.57,375.47,25.18,6.01,10.29
157.51,173.75,365.46,21.16,6.45,9.24
160.39,165.21,313.12,20.65,7.00,9.98
129.60,119.65,327.25,20.39,6.51,8.32
156.97,128.98,347.78,19.29,6.57,9.24
158.79,185.63,499.69,20.68,6.12,10.12
128.57,123.74,407.63,19.41,6.32,8.80
205.97,184.99,477.54,20.34,6.39,10.75
164.21,151.01,541.05,22.64,6.40,10.94
114.26,114.38,377.61,17.99,6.88,7.70
169.70,153.59,423.15,22.28,6.67,10.28
120.76,108.00,216.55,22.63,6.17,6.73
173.61,150.69,561.77,19.76,6.57,10.06
184.76,167.31,400.04,15.76,6.65,10.05
125.38,112.15,268.49,18.78,6.84,6.87
178.90,152.43,508.93,22.59,6.97,10.81
162.38,151.50,546.75,19.95,6.20,9.50
174.66,155.90,518.54,18.00,6.26,10.60
206.90,208.08,542.00,18.99,6.12,11.18
142.64,94.35,415.01,21.68,6.43,8.77
127.39,138.28,397.45,21.09,6.64,9.00
123.31,137.34,384.58,19.52,6.80,7.99
125.53,89.32,365.11,19.27,6.48,7.89
147.69,133.01,400.58,19.22,6.40,8.98
160.23,142.62,417.34,18.16,6.55,8.97
158.30,125.53,378.90,23.23,6.25,8.71
174.82,148.19,435.60,19.36,7.13,8.73
150.39,123.65,316.13,22.43,6.02,8.77
193.61,201.17,482.30,23.04,6.56,10.81
142.06,147.68,334.69,22.00,7.11,8.86
231.61,224.36,508.03,19.14,6.50,12.32
168.77,165.84,446.53,20.81,6.44,10.50
124.29,102.49,418.17,19.95,6.39,7.94
117.87,106.43,381.66,18.19,6.45,7.51
164.47,158.92,350.42,20.65,6.91,9.77
143.30,116.30,337.11,17.64,5.84,8.10
171.42,167.83,489.88,22.38,6.96,10.70
164.20,147.75,379.27,19.07,6.07,9.45
147.82,132.63,384.40,20.40,6.42,8.12
124.60,130.34,376.69,20.57,6.37,8.74
104.55,110.31,260.69,19.48,6.68,7.27
136.60,123.87,378.48,21.17,6.02,8.00
175.69,177.94,384.68,19.05,6.64,9.86
156.42,128.92,382.78,21.74,7.11,9.01
112.63,119.34,341.24,17.31,6.09,7.33
155.20,153.05,330.74,20.25,6.56,9.23
161.56,144.60,445.14,23.88,6.30,10.69
123.48,123.68,345.99,18.00,6.63,8.37
154.61,124.92,436.85,18.64,6.51,8.36
151.75,155.26,414.69,21.03,6.31,9.81
115.71,109.80,399.63,20.36,6.65,8.63
160.73,140.75,427.73,20.70,7.04,9.62
166.82,169.19,412.18,20.98,6.44,10.57
182.49,155.43,471.10,21.27,6.72,11.43
181.61,144.16,490.39,22.22,6.11,10.90
108.67,83.59,319.78,20.82,6.21,7.18
121.87,126.58,345.76,19.52,6.64,8.51
165.45,133.15,395.80,21.35,6.95,9.40
165.41,178.65,397.68,23.80,6.61,10.35
165.45,121.13,360.77,19.73,6.41,8.71
265.58,257.91,718.64,18.05,6.50,15.36
167.13,156.87,372.06,22.21,6.12,9.29
184.07,165.80,433.49,19.76,6.68,11.04
178.62,154.72,421.32,15.65,6.76,9.76
169.54,161.62,483.83,21.69,6.36,9.68
140.54,131.87,366.34,18.93,6.36,8.67
172.77,174.76,507.93,19.82,6.58,9.53
126.82,123.17,319.96,20.66,6.37,8.34
142.90,136.57,399.74,20.38,6.48,9.38
135.44,122.90,329.11,21.42,7.13,7.92
152.46,141.11,512.17,19.13,6.43,9.69
219.44,200.17,479.50,21.03,6.39,12.85
93.98,69.53,303.46,19.48,6.31,6.10
170.59,136.25,472.86,21.48,6.72,9.39
101.62,112.44,323.93,21.23,6.45,8.19
135.84,131.24,362.42,18.13,6.31,9.25
182.67,163.38,458.85,22.17,6.90,10.54
151.93,141.82,406.05,18.93,6.93,9.51
117.67,119.35,327.99,21.62,6.32,8.58
128.54,114.74,405.28,20.73,5.94,7.91
170.39,144.64,551.30,23.68,6.80,10.40
128.09,125.41,328.30,19.55,6.29,8.61
156.49,130.52,344.50,19.30,6.74,9.54
151.37,147.22,398.32,19.96,5.91,9.39
130.45,98.82,489.89,19.39,6.77,7.99
214.32,206.89,488.45,21.60,6.14,12.91
169.02,162.30,519.99,16.77,6.72,9.78
89.25,95.24,362.38,17.89,6.50,6.65
155.59,159.22,383.51,17.86,6.21,9.32
130.15,149.10,388.74,21.90,6.38,9.73
175.57,175.67,532.57,23.42,6.71,11.54
126.22,93.37,333.49,19.79,6.53,7.77
146.56,118.05,382.94,19.66,6.68,8.78
165.15,142.75,401.22,20.14,7.09,9.37
175.97,161.17,401.21,22.32,6.03,10.36
113.99,118.96,295.52,18.15,6.99,5.99
139.96,121.09,318.73,20.48,6.53,8.10
135.75,131.40,373.21,21.95,6.23,8.81
130.40,112.99,322.30,21.00,6.10,7.36
202.96,173.20,517.62,20.38,6.44,11.47
162.15,128.62,346.50,22.00,6.78,8.95
112.17,95.89,340.89,14.59,6.46,7.72
177.54,141.75,496.75,21.36,6.95,10.99
213.66,176.29,427.64,18.69,6.06,10.61
180.97,180.58,480.65,16.34,6.50,10.29
104.42,89.29,370.22,21.02,6.12,7.27
135.47,167.86,310.46,22.75,6.61,8.81
188.01,177.81,559.64,19.73,6.77,11.24
128.77,125.79,378.49,21.91,6.37,8.14
163.31,137.78,391.38,23.22,5.72,8.89
173.24,169.10,443.69,22.63,6.56,10.78
122.19,109.12,372.30,23.28,6.63,8.56
148.21,140.40,400.23,21.48,6.62,8.79
52.76,100.61,232.46,20.15,6.87,6.12
119.27,113.97,292.50,16.80,6.18,6.86
142.42,151.18,393.31,19.51,6.70,9.12
112.57,99.51,254.45,18.31,6.86,7.19
198.97,178.65,492.38,24.34,5.97,11.43
107.10,132.24,269.00,19.65,6.60,7.64
136.80,120.03,336.82,20.25,6.35,7.96
153.92,170.32,469.65,21.10,6.48,9.99
193.24,185.21,541.04,20.09,6.60,11.23
106.92,97.10,344.31,23.39,6.35,7.25
184.89,177.40,415.17,18.75,6.30,10.18
150.31,154.83,384.79,20.39,6.51,8.52
120.55,125.77,401.76,18.52,6.17,7.85
163.86,127.54,434.81,17.36,6.17,8.89
155.97,133.87,527.91,18.78,6.70,9.48
131.99,121.88,383.65,19.93,6.16,8.19
152.09,140.56,413.79,19.14,6.70,9.06
138.44,140.06,361.43,18.62,6.64,8.75
153.41,145.39,413.49,17.19,5.98,9.37
169.86,135.86,432.10,19.83,6.30,9.21
197.58,183.77,530.57,16.99,6.86,10.39
112.87,119.45,373.57,21.52,6.21,7.49
213.99,199.59,488.68,20.16,6.36,11.46
91.44,109.36,216.31,17.08,6.64,6.06
145.45,148.87,299.08,19.38,6.74,8.14
167.65,161.01,460.70,18.50,6.42,9.26
158.43,145.69,361.69,20.64,6.32,8.96
131.32,100.14,254.99,22.68,6.93,7.68
143.76,141.45,406.94,16.25,7.02,8.85
135.21,131.28,495.07,20.23,6.79,8.83
132.32,129.93,364.33,19.68,6.53,8.17
175.49,141.24,492.90,21.34,6.26,9.72
160.71,132.35,425.51,20.43,6.25,9.30
129.21,139.17,353.48,18.50,6.66,7.83
176.99,161.00,499.93,19.36,6.63,10.65
159.22,157.60,403.92,18.41,6.92,8.43
174.39,159.93,462.14,22.15,6.70,10.19
168.89,155.56,453.86,20.04,6.05,10.05
125.13,134.18,316.86,23.80,6.82,8.51
133.19,118.81,415.99,19.88,6.20,9.80
172.42,159.38,436.09,18.58,6.38,10.03
168.31,147.71,398.83,16.97,6.58,8.76
149.37,132.98,425.57,16.39,7.10,8.58
153.52,138.18,362.12,16.83,7.43,7.56
188.33,174.00,478.07,20.53,6.68,10.74
