genero,edad,ubicacion,tipo_escuela,transporte_a_la_escuela,area_de_la_carrera,promedio_inicial,promedio_medio,promedio_final,horas_estudio_semanal,otra_carrera_previa,nivel_ingresos_rango,trabaja,apoyo_economico,foraneo_o_local,con_quien_vive,estado_civil,discapacidad,problemas_socioeconomicos,horas_sueño,nivel_estres_percibido,recibio_orientacion_vocacional,razon_principal_eleccion_carrera,problemas_familiares,problemas_psicologicos,nivel_de_satisfaccion,hobbies,amigos_cercanos,motivo_eleccion_carrera,expectativas_cumplidas,deserto
Masculino,22,Rural,Publica,22,Arte,74,61,61,23,No,5k-10k,No,Trabajo Propio,Local,Otros,Soltero,Ninguna,No,6,1,Si,Prestigio,No,Si,2,Lectura,10,Cercanía,Si,No
Masculino,19,Urbana,Privada,19,Ingenieria,90,73,69,19,Si,5k-10k,No,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,Si,6,3,Si,Prestigio,Si,No,3,Lectura,4,Vocación,Si,No
Masculino,21,Urbana,Publica,28,Ciencias Naturales,93,60,57,12,No,>20k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,Si,7,2,No,Amigos/Familia,Si,No,2,Deportes,5,Renta Económica,Si,No
Masculino,20,Rural,Publica,9,Arte,80,76,75,10,Si,<5k,Si,Otro,Local,Solo,Casado,Ninguna,Si,4,3,No,Amigos/Familia,Si,Si,3,Viajar,10,Renta Económica,No,No
Masculino,19,Rural,Privada,30,Humanidades,72,70,69,11,No,10k-20k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,No,4,0,No,Amigos/Familia,Si,No,4,Arte,7,Prestigio,No,Si
Femenino,19,Rural,Publica,31,Ciencias Naturales,78,85,100,8,No,<5k,Si,Padres,Local,Otros,Soltero,Ninguna,No,4,2,Si,Sueldo,No,Si,3,Arte,5,Prestigio,No,Si
Femenino,22,Urbana,Publica,20,Ciencias Sociales,85,74,77,8,No,5k-10k,Si,Padres,Local,Solo,Soltero,Ninguna,Si,5,5,No,Gusto Personal,Si,No,3,Deportes,3,Cercanía,No,No
Femenino,18,Urbana,Publica,31,Ciencias Sociales,100,78,79,12,Si,5k-10k,No,Otro,Local,Solo,Soltero,Ninguna,Si,8,1,No,Prestigio,Si,No,4,Lectura,5,Renta Económica,Si,Si
Femenino,20,Urbana,Publica,18,Humanidades,97,88,72,11,No,5k-10k,No,Padres,Local,Otros,Soltero,Ninguna,No,5,3,Si,Demanda Laboral,Si,Si,2,Tecnología,4,Influencia Familiar,Si,Si
Masculino,20,Urbana,Privada,19,Ciencias Naturales,79,55,65,13,Si,5k-10k,Si,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,5,4,Si,Prestigio,No,No,2,Lectura,5,Cercanía,Si,No
Masculino,18,Urbana,Publica,23,Humanidades,68,85,69,13,Si,>20k,Si,Trabajo Propio,Local,Solo,Soltero,Ninguna,Si,5,1,No,Sueldo,Si,No,4,Lectura,7,Prestigio,No,No
Masculino,21,Rural,Privada,33,Ingenieria,92,92,65,10,Si,5k-10k,Si,Otro,Foraneo,Amigos,Soltero,Ninguna,No,8,4,Si,Prestigio,No,No,4,Lectura,5,Influencia Familiar,No,Si
Masculino,19,Urbana,Publica,37,Ciencias Sociales,77,66,81,16,Si,<5k,Si,Padres,Foraneo,Familia,Soltero,Ninguna,Si,4,2,No,Prestigio,Si,No,5,Lectura,3,Cercanía,Si,No
Masculino,21,Urbana,Publica,25,Humanidades,74,57,87,20,Si,<5k,Si,Padres,Local,Otros,Soltero,Visual,Si,6,1,No,Demanda Laboral,Si,No,4,Tecnología,5,Vocación,No,No
Masculino,22,Rural,Privada,29,Ingenieria,71,71,88,13,No,5k-10k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,No,7,2,No,Amigos/Familia,Si,Si,2,Tecnología,4,Renta Económica,No,Si
Femenino,20,Rural,Publica,47,Ingenieria,75,51,69,10,Si,<5k,No,Otro,Local,Otros,Soltero,Ninguna,Si,5,3,No,Amigos/Familia,Si,No,2,Lectura,4,Prestigio,No,No
Femenino,18,Rural,Publica,18,Arte,87,72,66,21,Si,5k-10k,Si,Trabajo Propio,Local,Familia,Casado,Ninguna,Si,6,3,Si,Amigos/Familia,No,No,1,Arte,1,Prestigio,Si,No
Femenino,23,Rural,Privada,13,Humanidades,71,78,67,13,Si,5k-10k,Si,Padres,Local,Amigos,Soltero,Ninguna,Si,6,1,No,Sueldo,No,Si,4,Deportes,8,Vocación,No,No
Masculino,21,Rural,Publica,41,Ingenieria,89,69,90,13,No,<5k,Si,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,Si,6,1,Si,Gusto Personal,Si,No,3,Lectura,6,Vocación,Si,Si
Masculino,20,Urbana,Privada,23,Arte,93,82,70,25,No,5k-10k,No,Otro,Foraneo,Familia,Soltero,Ninguna,No,6,3,Si,Demanda Laboral,No,No,4,Deportes,7,Influencia Familiar,No,No
Femenino,18,Urbana,Privada,12,Ciencias Naturales,59,77,80,16,No,5k-10k,Si,Padres,Foraneo,Familia,Soltero,Ninguna,Si,4,4,Si,Gusto Personal,Si,Si,3,Viajar,6,Vocación,No,No
Femenino,21,Rural,Privada,40,Ciencias Sociales,91,64,56,18,No,10k-20k,No,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,No,7,4,No,Amigos/Familia,No,Si,2,Lectura,9,Prestigio,Si,No
Femenino,22,Rural,Privada,35,Humanidades,72,99,84,10,No,10k-20k,No,Otro,Foraneo,Amigos,Soltero,Ninguna,No,4,2,Si,Sueldo,Si,Si,4,Deportes,6,Influencia Familiar,Si,Si
Masculino,22,Rural,Privada,27,Arte,71,89,76,14,Si,>20k,No,Padres,Local,Solo,Soltero,Cognitiva,No,5,1,Si,Sueldo,No,No,4,Arte,8,Vocación,No,No
Femenino,22,Rural,Publica,23,Humanidades,83,85,78,19,No,<5k,Si,Trabajo Propio,Local,Otros,Soltero,Ninguna,No,4,2,Si,Demanda Laboral,Si,No,3,Lectura,6,Cercanía,Si,Si
Masculino,18,Rural,Publica,49,Ciencias Sociales,77,81,91,14,Si,5k-10k,No,Padres,Foraneo,Solo,Soltero,Ninguna,No,6,2,Si,Demanda Laboral,No,No,3,Deportes,4,Influencia Familiar,No,No
Femenino,19,Urbana,Publica,43,Ciencias Naturales,80,66,77,10,No,5k-10k,No,Otro,Local,Otros,Soltero,Ninguna,Si,4,2,No,Prestigio,Si,Si,3,Arte,5,Cercanía,Si,No
Masculino,20,Rural,Privada,42,Humanidades,92,79,81,10,No,<5k,Si,Trabajo Propio,Foraneo,Solo,Soltero,Ninguna,Si,6,4,Si,Sueldo,Si,No,3,Tecnología,4,Vocación,No,No
Femenino,18,Urbana,Publica,41,Ciencias Sociales,76,68,66,13,No,10k-20k,No,Otro,Local,Familia,Soltero,Cognitiva,Si,6,1,No,Prestigio,Si,No,3,Arte,5,Cercanía,No,Si
Masculino,19,Rural,Publica,30,Ingenieria,77,68,85,17,No,5k-10k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,Si,7,1,Si,Demanda Laboral,Si,No,3,Deportes,5,Renta Económica,Si,No
Masculino,21,Urbana,Publica,36,Ciencias Sociales,65,62,83,19,Si,>20k,Si,Otro,Foraneo,Familia,Casado,Ninguna,Si,7,1,Si,Prestigio,No,Si,2,Lectura,8,Renta Económica,Si,No
Femenino,20,Rural,Privada,16,Ingenieria,94,72,86,14,No,5k-10k,No,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,Si,7,3,Si,Prestigio,Si,No,2,Tecnología,9,Influencia Familiar,No,No
Femenino,23,Urbana,Publica,34,Humanidades,89,70,76,7,Si,<5k,Si,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,No,5,3,No,Prestigio,Si,No,4,Viajar,7,Renta Económica,Si,No
Femenino,18,Rural,Privada,34,Ciencias Naturales,83,70,57,15,Si,5k-10k,Si,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,No,6,3,No,Gusto Personal,No,No,3,Tecnología,5,Influencia Familiar,No,No
Femenino,19,Urbana,Publica,36,Ciencias Sociales,80,63,83,24,No,<5k,Si,Padres,Local,Familia,Soltero,Ninguna,Si,3,2,No,Prestigio,Si,Si,4,Tecnología,4,Prestigio,No,No
Femenino,20,Rural,Publica,28,Ciencias Naturales,68,78,78,7,Si,>20k,No,Otro,Foraneo,Familia,Soltero,Ninguna,Si,7,3,Si,Gusto Personal,Si,No,3,Lectura,6,Influencia Familiar,Si,Si
Masculino,22,Rural,Publica,46,Humanidades,90,84,68,11,No,5k-10k,No,Trabajo Propio,Foraneo,Solo,Soltero,Cognitiva,Si,5,0,Si,Prestigio,No,Si,3,Tecnología,6,Vocación,Si,No
Femenino,20,Rural,Publica,20,Ciencias Naturales,82,72,66,5,Si,<5k,Si,Padres,Local,Otros,Soltero,Ninguna,Si,8,4,No,Demanda Laboral,Si,No,5,Viajar,1,Cercanía,Si,Si
