,genero,edad,ubicacion,tipo_escuela,transporte_a_la_escuela,area_de_la_carrera,promedio_inicial,promedio_medio,promedio_final,horas_estudio_semanal,otra_carrera_previa,nivel_ingresos_rango,trabaja,apoyo_economico,foraneo_o_local,con_quien_vive,estado_civil,discapacidad,problemas_socioeconomicos,horas_sueño,nivel_estres_percibido,recibio_orientacion_vocacional,razon_principal_eleccion_carrera,problemas_familiares,problemas_psicologicos,nivel_de_satisfaccion,hobbies,amigos_cercanos,motivo_eleccion_carrera,expectativas_cumplidas,deserto
0,Masculino,0.4444444444444444,Rural,Publica,0.3333333333333333,Arte,0.5357142857142857,0.2641509433962264,0.35,0.7419354838709677,No,5k-10k,No,Trabajo Propio,Local,Otros,Soltero,Ninguna,No,0.4,0.4,Si,Prestigio,No,Si,0.4,Lectura,0.9090909090909091,Cercanía,Si,No
1,Masculino,0.1111111111111111,Urbana,Privada,0.2777777777777778,Ingenieria,0.8214285714285714,0.49056603773584906,0.48333333333333334,0.6129032258064516,Si,5k-10k,No,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,Si,0.4,0.6,Si,Prestigio,Si,No,0.6,Lectura,0.36363636363636365,Vocación,Si,No
2,Masculino,0.3333333333333333,Urbana,Publica,0.4444444444444444,Ciencias Naturales,0.875,0.24528301886792453,0.2833333333333333,0.3870967741935484,No,>20k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,Si,0.5,0.4,No,Amigos/Familia,Si,No,0.4,Deportes,0.45454545454545453,Renta Económica,Si,No
3,Masculino,0.2222222222222222,Rural,Publica,0.09259259259259259,Arte,0.6428571428571429,0.5471698113207547,0.5833333333333334,0.3225806451612903,Si,<5k,Si,Otro,Local,Solo,Casado,Ninguna,Si,0.2,0.6,No,Amigos/Familia,Si,Si,0.6,Viajar,0.9090909090909091,Renta Económica,No,No
4,Masculino,0.1111111111111111,Rural,Privada,0.48148148148148145,Humanidades,0.5,0.4339622641509434,0.48333333333333334,0.3548387096774194,No,10k-20k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,No,0.2,0.8,No,Amigos/Familia,Si,No,0.8,Arte,0.6363636363636364,Prestigio,No,Si
5,Femenino,0.1111111111111111,Rural,Publica,0.5,Ciencias Naturales,0.6071428571428571,0.7169811320754716,1.0,0.25806451612903225,No,<5k,Si,Padres,Local,Otros,Soltero,Ninguna,No,0.2,0.6,Si,Sueldo,No,Si,0.6,Arte,0.45454545454545453,Prestigio,No,Si
6,Femenino,0.4444444444444444,Urbana,Publica,0.2962962962962963,Ciencias Sociales,0.7321428571428571,0.5094339622641509,0.6166666666666667,0.25806451612903225,No,5k-10k,Si,Padres,Local,Solo,Soltero,Ninguna,Si,0.3,0.6,No,Gusto Personal,Si,No,0.6,Deportes,0.2727272727272727,Cercanía,No,No
7,Femenino,0.0,Urbana,Publica,0.5,Ciencias Sociales,1.0,0.5849056603773585,0.65,0.3870967741935484,Si,5k-10k,No,Otro,Local,Solo,Soltero,Ninguna,Si,0.6,0.8,No,Prestigio,Si,No,0.8,Lectura,0.45454545454545453,Renta Económica,Si,Si
8,Femenino,0.2222222222222222,Urbana,Publica,0.25925925925925924,Humanidades,0.9464285714285714,0.7735849056603774,0.5333333333333333,0.3548387096774194,No,5k-10k,No,Padres,Local,Otros,Soltero,Ninguna,No,0.3,0.4,Si,Demanda Laboral,Si,Si,0.4,Tecnología,0.36363636363636365,Influencia Familiar,Si,Si
9,Masculino,0.2222222222222222,Urbana,Privada,0.2777777777777778,Ciencias Naturales,0.625,0.1509433962264151,0.4166666666666667,0.41935483870967744,Si,5k-10k,Si,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,0.3,0.4,Si,Prestigio,No,No,0.4,Lectura,0.45454545454545453,Cercanía,Si,No
